Id,Under observation,Under home isolation,Hospitalised today,Total hospitalised,Corona positive,Cured discharged,Deaths,Number samples tested,Number of negative samples,Created at,Updated at
54,76542,76010,66,532,112,6,0,4902,3465,2020-03-25 13:01:00 UTC,2020-03-28 13:01:00 UTC
53,1495,1236,110,259,14,3,0,980,815,2020-03-10 12:23:00 UTC,2020-03-28 12:23:00 UTC
52,1116,967,65,149,6,3,0,807,717,2020-03-09 12:23:00 UTC,2020-03-28 12:23:00 UTC
51,732,648,21,84,0,3,0,729,664,2020-03-08 12:27:00 UTC,2020-03-28 12:27:00 UTC
50,637,574,17,63,0,3,0,682,616,2020-03-07 12:27:00 UTC,2020-03-28 12:27:00 UTC
49,592,546,7,46,0,3,0,631,579,2020-03-06 12:27:00 UTC,2020-03-28 12:27:00 UTC
48,547,508,8,39,0,3,0,574,535,2020-03-05 12:27:00 UTC,2020-03-28 12:27:00 UTC
47,469,438,8,31,0,3,0,552,511,2020-03-04 12:27:00 UTC,2020-03-28 12:27:00 UTC
46,411,388,6,23,0,3,0,520,494,2020-03-03 12:27:00 UTC,2020-03-28 12:27:00 UTC
45,293,276,4,17,0,3,0,504,493,2020-03-02 12:27:00 UTC,2020-03-28 12:27:00 UTC
44,206,193,3,13,0,3,0,488,471,2020-03-01 12:27:00 UTC,2020-03-28 12:27:00 UTC
43,72460,71994,164,466,105,4,0,4516,3331,2020-03-24 13:04:00 UTC,2020-03-28 13:04:00 UTC
42,2242,2234,0,8,1,2,0,432,423,2020-02-19 00:00:00 UTC,2020-02-19 00:00:00 UTC
41,2222,2209,0,13,1,2,0,425,420,2020-02-18 00:00:00 UTC,2020-02-18 00:00:00 UTC
40,2246,2233,0,13,1,2,0,423,406,2020-02-17 00:00:00 UTC,2020-02-17 00:00:00 UTC
39,2276,2262,0,14,1,2,0,418,405,2020-02-16 00:00:00 UTC,2020-02-16 00:00:00 UTC
38,2210,2194,0,16,2,1,0,415,396,2020-02-15 00:00:00 UTC,2020-02-15 00:00:00 UTC
37,2288,2272,0,16,2,1,0,408,379,2020-02-14 00:00:00 UTC,2020-02-14 00:00:00 UTC
36,2397,2375,0,22,2,1,0,402,363,2020-02-13 00:00:00 UTC,2020-02-13 00:00:00 UTC
35,2455,2431,0,24,3,0,0,389,354,2020-02-12 11:44:00 UTC,2020-03-25 11:44:00 UTC
34,3447,3420,7,27,3,0,0,380,344,2020-02-11 23:10:00 UTC,2020-03-25 07:10:00 UTC
33,3367,3336,10,31,3,0,0,364,337,2020-02-10 23:45:00 UTC,2020-03-25 06:45:00 UTC
32,191,181,2,10,0,3,0,485,471,2020-02-29 12:28:00 UTC,2020-03-28 12:28:00 UTC
31,136,128,1,8,0,3,0,471,463,2020-02-28 12:28:00 UTC,2020-03-28 12:28:00 UTC
